Brand	Series	Model	Description
HP	DesignJet 5500ps Dye	C4931A	HP DesignJet 81 Cyan Dye Ink Cartridge (C4931A)
HP	DesignJet 5500ps UV	C4965A	HP DesignJet 83 Light Magenta UV Printhead and Cleaner (C4965A)
HP	DesignJet 5500ps UV	C4942A	HP DesignJet 83 Magenta UV Ink Cartridge (C4942A)
HP	DesignJet 5500ps UV	C4961A	HP DesignJet 83 Cyan UV Printhead and Cleaner (C4961A)
HP	DesignJet 5500ps UV	C4943A	HP DesignJet 83 Yellow UV Ink Cartridge (C4943A)
HP	DesignJet 5500ps UV	C4944A	HP DesignJet 83 Light Cyan UV Ink Cartridge (C4944A)
HP	DesignJet 5500ps UV	C4964A	HP DesignJet 83 Light Cyan UV Printhead and Cleaner (C4964A)
HP	DesignJet 5500ps UV	C4962A	HP DesignJet 83 Magenta UV Printhead and Cleaner (C4962A)
HP	DesignJet 5500ps UV	C4941A	HP DesignJet 83 Cyan UV Ink Cartridge (C4941A)
HP	DesignJet 5500ps UV	C4945A	HP DesignJet 83 Light Magenta UV Ink Cartridge (C4945A)
HP	DesignJet 5500ps UV	C4963A	HP DesignJet 83 Yellow UV Printhead and Cleaner (C4963A)
HP	DesignJet 5500ps UV	C4960A	HP DesignJet 83 Black UV Printhead and Cleaner (C4960A)
HP	Designjet 5500UV (42 in)	C4965A	HP DesignJet 83 Light Magenta UV Printhead and Cleaner (C4965A)
HP	Designjet 5500UV (42 in)	C4942A	HP DesignJet 83 Magenta UV Ink Cartridge (C4942A)
HP	Designjet 5500UV (42 in)	C4961A	HP DesignJet 83 Cyan UV Printhead and Cleaner (C4961A)
HP	Designjet 5500UV (42 in)	C4943A	HP DesignJet 83 Yellow UV Ink Cartridge (C4943A)
HP	Designjet 5500UV (42 in)	C4944A	HP DesignJet 83 Light Cyan UV Ink Cartridge (C4944A)
HP	Designjet 5500UV (42 in)	C4964A	HP DesignJet 83 Light Cyan UV Printhead and Cleaner (C4964A)
HP	Designjet 5500UV (42 in)	C4962A	HP DesignJet 83 Magenta UV Printhead and Cleaner (C4962A)
HP	Designjet 5500UV (42 in)	C4941A	HP DesignJet 83 Cyan UV Ink Cartridge (C4941A)
HP	Designjet 5500UV (42 in)	C4945A	HP DesignJet 83 Light Magenta UV Ink Cartridge (C4945A)
HP	Designjet 5500UV (42 in)	C4963A	HP DesignJet 83 Yellow UV Printhead and Cleaner (C4963A)
HP	Designjet 5500UV (42 in)	C4960A	HP DesignJet 83 Black UV Printhead and Cleaner (C4960A)
HP	DesignJet 5940	C8766WN#140	HP 95 Tri-Colour Original Ink Cartridge (C8766WN)
HP	DesignJet 5940	C8767WN#140	HP 96 Black Original Ink Cartridge (C8767WN)
HP	DesignJet 5940	C9363WN#140	HP 97 Tri-Colour Original Ink Cartridge (C9363WN)
HP	DesignJet 5940	C9353FN#140	HP 96 Black & 97 Tri-Colour Original Ink Cartridges, 2 Pack (C9353FN)
HP	DesignJet 5940xi	C8766WN#140	HP 95 Tri-Colour Original Ink Cartridge (C8766WN)
HP	DesignJet 5940xi	C8767WN#140	HP 96 Black Original Ink Cartridge (C8767WN)
HP	DesignJet 5940xi	C9363WN#140	HP 97 Tri-Colour Original Ink Cartridge (C9363WN)
HP	DesignJet 5940xi	C9353FN#140	HP 96 Black & 97 Tri-Colour Original Ink Cartridges, 2 Pack (C9353FN)
HP	Designjet 70	C4811A	HP 11 Cyan Original Printhead (C4811A)
HP	Designjet 70	C4844A	HP 10 Black Original Ink Cartridge (C4844A)
HP	Designjet 70	C4810A	HP 11 Black Original Printhead (C4810A)
HP	Designjet 70	C4837A	HP 11 Magenta Original Ink Cartridge (C4837A)
HP	Designjet 70	C4838A	HP 11 Yellow Original Ink Cartridge (C4838A)
HP	Designjet 70	C4836A	HP 11 Cyan Original Ink Cartridge (C4836A)
HP	Designjet 70	C9427A	HP DesignJet 85 Yellow Ink Cartridge (C9427A)
HP	Designjet 70	C9428A	HP DesignJet 85 Light Cyan Ink Cartridge (C9428A)
HP	Designjet 70	C9424A	HP 85 Light Magenta Printhead (C9424A)
HP	Designjet 70	C9425A	HP DesignJet 85 Cyan Ink Cartridge (C9425A)
HP	Designjet 70	C9422A	HP 85 Yellow Printhead (C9422A)
HP	Designjet 70	C9429A	HP DesignJet 85 Light Magenta Ink Cartridge (C9429A)
HP	Designjet 70	C9426A	HP DesignJet 85 Magenta Ink Cartridge (C9426A)
HP	Designjet 70	C9423A	HP 85 Light Cyan Printhead (C9423A)
HP	DesignJet 700	51645A#140	HP 45 Black Original Ink Cartridge (51645A)
HP	DesignJet 750c	51645A#140	HP 45 Black Original Ink Cartridge (51645A)
